column,sort_order,label,url,highlight
Quick Links,1,Home,/,
Quick Links,2,About Us,/about/,
Quick Links,3,Services,/services/,
Quick Links,4,Contact,/contact/,
Guides,1,Buying Guides,/guides/?parent_term=buying,
Guides,2,Finance & Mortgages,/guides/?parent_term=finance-mortgages,
Guides,3,Stamp Duty Calculator,/guides/stamp-duty-calculator/,1
Guides,4,Mortgage Calculator,/guides/mortgage-calculator/,
Company,1,Client Stories,/client-stories/,
Company,2,Blog,/blog/,
Company,3,Latest News,/allnews/,
Legal,1,Privacy Policy,/privacy-policy/,
Legal,2,Cookie Policy,/cookie-policy/,
Legal,3,Terms & Conditions,/terms/,
