name,type_slug,slug,parent_slug,description,sort_order,status
"Home Buying",category,"home-buying","","Articles and guides for people buying their first or next home.",1,active
"Investment",category,"investment","","Content focused on property investment strategy and market analysis.",2,active
"Home Loans",category,"home-loans","","Everything related to housing finance, EMIs, and lenders.",3,active
"Legal & Documentation",category,"legal-documentation","","Legal process, stamp duty, registration, and compliance.",4,active
"Market News",category,"market-news","","Property market updates, price trends, and new launches.",5,active
"First-Time Buyer",tag,"first-time-buyer","","",1,active
"Resale",tag,"resale","","",2,active
"NRI",tag,"nri","","",3,active
"Bengaluru",tag,"bengaluru","","",4,active
"Hyderabad",tag,"hyderabad","","",5,active
"Pune",tag,"pune","","",6,active
"RERA",tag,"rera","","",7,active
"Checklist",subtag,"checklist","home-buying","",1,active
"Loan Comparison",subtag,"loan-comparison","home-loans","",1,active
