service_slug,sort_order,point_text
property-search,1,Detailed needs analysis and buyer brief
property-search,2,Full market search - on and off-market
property-search,3,Pre-assessment and shortlisting against brief
property-search,4,Accompanied viewings with expert commentary
property-search,5,Area research and comparable sales analysis
off-market-access,1,Exclusive agent network across the UK
off-market-access,2,Developer and new-build off-plan relationships
off-market-access,3,Probate and private sale introductions
off-market-access,4,Pre-market viewings before public launch
off-market-access,5,No bidding wars - fewer competing buyers
negotiation-strategy,1,Comparable sold price analysis
negotiation-strategy,2,Vendor motivation and chain research
negotiation-strategy,3,Strategic offer timing and structuring
negotiation-strategy,4,Condition and contract term negotiation
negotiation-strategy,5,Gazumping and re-negotiation management
due-diligence,1,Independent RICS survey commissioning
due-diligence,2,Structural and planning history checks
due-diligence,3,Environmental and flood risk research
due-diligence,4,Leasehold and title deed review
due-diligence,5,Survey result interpretation and renegotiation
conveyancing-management,1,Solicitor introduction and coordination
conveyancing-management,2,Chain status monitoring and chasing
conveyancing-management,3,Lender and mortgage progress tracking
conveyancing-management,4,Search result and enquiry management
conveyancing-management,5,Exchange and completion day coordination
relocation-investment,1,Remote search and virtual viewing support
relocation-investment,2,Area research and school catchment analysis
relocation-investment,3,Buy-to-let yield and return analysis
relocation-investment,4,Portfolio strategy and growth planning
relocation-investment,5,Renovation and uplift potential assessment
