key,value
hero_tag,100% Natural · No Additives · Freshly Pressed
hero_headline,"Pressed Fresh.<span class=""accent"">Served Cool.</span>"
hero_brand,Fresh cane juice pressed live and blended with authentic cold-pressed fruit extracts & natural botanicals. 
hero_desc,"For generations, sugarcane juice has been enjoyed on warm afternoons, shared with family and friends, and served fresh from the press.At The Cane House, we're bringing that experience to Sutton - one glass at a time.Watch your juice being freshly pressed, enjoy the natural sweetness of real sugarcane, and take a moment to slow down and enjoy life's simple pleasures.Experience Fresh Sugarcane Juice Today"
hero_cta_label,Hire for Events
hero_cta_url,/events
hero_cta2_label,Looking for a franchise?
hero_cta2_url,/franchise
hero_badge_1,NO ADDED SUGAR
hero_badge_2,NO PRESERVATIVES
hero_badge_3,FRESHLY PRESSED
hero_badge_4,NATURALLY REFRESHING
