type,id,slug,name,icon_emoji,description,parent_id,status
parent,1,general-surgery,General Surgery,🔪,Patient guides for general surgery procedures and recovery,,active
parent,2,cardiology,Cardiology,❤️,Heart and cardiovascular patient information,,active
parent,3,orthopaedics,Orthopaedics,🦴,Bone, joint and musculoskeletal patient guides,,active
parent,4,maternity,Maternity,👶,Pregnancy, birth and postnatal information,,active
parent,5,outpatients,Outpatient Services,🏥,Guides for outpatient appointments and procedures,,active
topic,6,pre-surgery,Pre-Surgery Preparation,📋,What to do before your operation,1,active
topic,7,post-surgery,Post-Surgery Recovery,🏠,Recovering safely at home after your procedure,1,active
topic,8,day-surgery,Day Surgery,🌅,Information about same-day surgical procedures,1,active
topic,9,heart-conditions,Heart Conditions,❤️,Information about common heart conditions,2,active
topic,10,cardiac-procedures,Cardiac Procedures,🩺,Guides to cardiac tests and procedures,2,active
topic,11,knee-hip,Knee & Hip,🦵,Knee and hip replacement guides,3,active
topic,12,fractures,Fractures & Breaks,🦴,Information about fractures and cast care,3,active
topic,13,physiotherapy,Physiotherapy,🤸,Exercise guides and physiotherapy information,3,active
topic,14,antenatal,Antenatal Care,🤰,Your care during pregnancy,4,active
topic,15,labour-birth,Labour & Birth,👶,What to expect during labour and birth,4,active
topic,16,your-appointment,Your Appointment,📅,What to expect at your outpatient appointment,5,active
topic,17,tests-investigations,Tests & Investigations,🔬,Information about common tests and investigations,5,active
