topic,question,answer,sort_order
"General","What is a buyer's agent?","A buyer's agent works exclusively on behalf of the buyer — not the seller. Unlike an estate agent paid by the seller to achieve the highest price, we are paid by you to find the right property at the best possible price. Our legal duty is to you alone.",1
"General","How much does a buyer's agent cost?","Our fee structure is transparent: a retainer to begin the search (typically £1,500–£3,000 depending on brief), and a success fee of 1–2% of the purchase price on completion. We offer a free 30-minute consultation with no obligation.",2
"General","Can a first-time buyer use a buyer's agent?","Absolutely — first-time buyers often benefit most. You get expert guidance through a complex, unfamiliar process, access to off-market properties, and a negotiator who has done this hundreds of times. Our fee is routinely recovered many times over through negotiation savings.",3
"General","What's the difference between a buyer's agent and an estate agent?","An estate agent is instructed by and paid by the seller. Their legal obligation is to the seller. A buyer's agent is instructed by and paid by you. Our sole obligation is to help you buy the right property at the right price.",4
"General","What areas of the UK do you cover?","We work nationally across England and Wales, with specialist on-the-ground knowledge in Greater London, the South East, the Midlands, the North West, South West, and South Wales.",5
"Process","How do you find off-market properties?","We maintain active relationships with estate agents, developers, property solicitors, and institutional landlords. Many properties are offered to us before they reach Rightmove — sometimes weeks ahead — because we reliably bring qualified, finance-ready buyers.",6
"Process","How long does the process typically take?","From instruction to completion, most clients complete in 3–6 months. We've completed some relocations in under 8 weeks. Timeline depends on your requirements, search complexity, and market conditions in your target area.",7
"Process","How do I start?","Book a free 30-minute consultation via our contact page. We'll discuss your brief, budget, timeline, and target area. If we're a good fit, we'll propose a search strategy and send a clear fee agreement. No pressure, no obligation.",8
"Process","Do I need to be mortgage-ready before you start?","We strongly recommend having an Agreement in Principle (AIP) before we begin active searching. It makes your offers credible and lets us move quickly when the right property appears. We can refer you to a whole-of-market broker if needed.",9
"Finance","Should I get a mortgage in principle first?","Yes — always. An AIP shows sellers and agents you are a serious, credible buyer. It takes 24–48 hours and costs nothing. Without one, your offer on a competitive property is less likely to be accepted.",10
"Finance","What is stamp duty and how much will I pay?","Stamp Duty Land Tax (SDLT) is a tiered tax on property purchases in England. Rates vary by purchase price, buyer type (first-time, main home, additional property), and residency status. Use our stamp duty calculator for an instant estimate.",11
"Finance","What other costs should I budget for?","Beyond the purchase price and stamp duty, budget for: solicitor fees (£1,500–£3,000), survey (£400–£1,500), mortgage arrangement fee (£0–£2,000), removal costs, and buildings insurance from exchange. Total extras typically run £5,000–£10,000 depending on purchase price.",12
"Legal","What does conveyancing involve?","Conveyancing is the legal process of transferring property ownership. Your solicitor conducts searches, reviews contracts, raises enquiries, manages the exchange of funds, and registers the property in your name at Land Registry. It typically takes 8–12 weeks.",13
"Legal","Do I need a survey?","For any property built before the 1990s we strongly recommend at least a RICS Level 2 Homebuyer Report. Older properties, those that have been extended, or those showing visible issues warrant a Level 3 Building Survey. A £700 survey can identify £20,000 of hidden problems.",14
"Legal","What are property searches and why do they matter?","Searches are conducted by your solicitor and reveal important information about the property: local authority planning issues, drainage routes, environmental risks, and land registration matters. They typically take 2–4 weeks and are non-negotiable for a properly protected purchase.",15
