title,slug,excerpt,content,status,published_date,category,icon_emoji,featured,tag
NHS Offers Free Bowel Cancer Checks from Age 50,nhs-bowel-cancer-checks-50,The NHS has lowered the bowel cancer screening age to 50 as part of its early detection programme.,The NHS has expanded its bowel cancer screening programme to include everyone aged 50 and over in England. The change is expected to detect thousands more cancers at an earlier and more treatable stage.,published,2024-03-20,Cancer,🔬,1,SCREENING
Ultra-Processed Foods Linked to Higher Health Risks,ultra-processed-foods-health-risks,A major UK study has found links between ultra-processed food consumption and increased risks of several health conditions.,Research published in The BMJ tracked 500,000 UK adults and found those consuming the highest amounts of ultra-processed foods had significantly higher rates of obesity, type 2 diabetes and cardiovascular disease.,published,2024-03-14,Nutrition,🥗,1,RESEARCH
Mental Health Waiting Times Hit Record Levels,mental-health-waiting-times,NHS data reveals record numbers waiting for mental health treatment in England.,The latest NHS statistics show 1.9 million people are waiting for mental health services in England - a record high. NHS England has announced additional funding to address the backlog.,published,2024-03-07,Mental Health,🧠,0,NHS
UK Adults Not Getting Enough Vitamin D,uk-vitamin-d-deficiency,New data from PHE shows that nearly a quarter of UK adults are deficient in Vitamin D.,"Public Health England data shows 23% of UK adults have low Vitamin D levels, rising to 40% in winter. Health experts recommend 10 micrograms of supplementation daily during autumn and winter.",published,2024-02-29,Nutrition,☀️,0,HEALTH
Exercise Reduces Dementia Risk by 40 Percent,exercise-reduces-dementia-risk,A landmark study has found that regular exercise can reduce the risk of developing dementia by up to 40%.,"Scientists from UCL have published findings from a 30-year follow-up study showing that people who exercised regularly throughout their lives had significantly lower rates of all types of dementia.",published,2024-02-22,Fitness,🏃,1,RESEARCH
NHS Rolls Out Free RSV Vaccination for Over-75s,rsv-vaccination-over-75,The NHS has begun rolling out free RSV vaccinations to protect older adults from the serious respiratory virus.,"NHS England has launched its RSV vaccination programme for adults aged 75-79. RSV (Respiratory Syncytial Virus) can cause serious illness in older adults, particularly those with existing health conditions.",published,2024-02-15,Vaccination,💉,0,NHS
Sugar Intake in UK Children Remains Too High,sugar-intake-children,Government data shows children in the UK are still consuming nearly double the recommended amount of sugar.,"The National Diet and Nutrition Survey reveals children aged 4-10 are consuming on average 53g of sugar per day - nearly double the 26g recommended maximum. Free sugars from fruit juices and sugary drinks are the main contributors.",published,2024-02-08,Nutrition,🍬,0,RESEARCH
Sleep Deprivation Linked to Increased Stroke Risk,sleep-deprivation-stroke-risk,Scientists have found that poor sleep quality significantly increases the risk of stroke in middle-aged adults.,"A study of 4,500 adults published in Neurology found that poor sleep quality was associated with a 54% higher risk of stroke, independent of other risk factors including age, BMI and blood pressure.",published,2024-01-30,Sleep,😴,0,RESEARCH
NHS App Downloads Exceed 30 Million,nhs-app-30-million-downloads,The NHS App has now been downloaded more than 30 million times as digital health services continue to grow.,"NHS England reports the app now processes over 1.5 million appointments per month, with 72% of users rating it as excellent or good. New features including health record sharing and test result tracking are planned for 2024.",published,2024-01-22,Digital Health,📱,0,NHS
UK Obesity Rate Stabilises for First Time in a Decade,uk-obesity-rate-stabilises,NHS data shows the UK obesity rate has stabilised for the first time in ten years at 28% of adults.,Health officials cautiously welcomed the news but warned that 28% of UK adults - around 15 million people - remain obese. The stabilisation coincides with increased uptake of GLP-1 weight loss medications.,published,2024-01-15,Weight Management,⚖️,1,HEALTH
