slug,title,template
home,Home,
about,About Us,page-about.php
services,Our Services,page-services.php
client-stories,Client Stories,page-client-stories.php
reviews,Client Stories,page-client-stories.php
contact,Contact,page-contact.php
contact-us,Contact,page-contact.php
guides,Buying Guides,page-guides.php
blog,Blog,page-blog.php
news,News,page-news.php
faq,FAQ,page-faq.php
homesection,Home Sections,page-homesection.php
multiinfo,MultiInfo Portal,template-multiinfo.php
allnews,All News,page-allnews.php
