title,slug,type,topic_slug,parent_slug,excerpt,content,status,author,read_time_minutes,featured,icon_emoji
Preparing for Your Operation,preparing-for-your-operation,article,pre-surgery,general-surgery,A complete guide to preparing yourself before surgery including fasting instructions and what to bring to hospital.,"<p>Preparing well for your operation helps ensure it goes smoothly and reduces your risk of complications. Your surgical team will give you specific instructions but this guide covers the general principles that apply to most planned procedures.</p><h2>Fasting Instructions</h2><p>Most operations requiring a general anaesthetic require you to fast beforehand. You should have nothing to eat for at least six hours before your operation. You can usually drink clear fluids (water, black tea or coffee without milk) up to two hours before. Follow your specific pre-admission letter exactly - instructions vary by anaesthetic type.</p><h2>Medications</h2><p>Tell your surgical team about all medications you take including over-the-counter medicines, supplements and herbal remedies. Some medications must be stopped before surgery (certain blood thinners, diabetic medications, NSAIDs). Do not stop any prescribed medication without specific instructions from your surgical team.</p><h2>What to Bring</h2><p>Bring your pre-admission paperwork and any letters from your consultant. Bring a list of all your current medications with dosages. Bring comfortable loose clothing for after the operation. Leave valuables at home. Bring your reading glasses if you use them since you will need to sign consent forms.</p><ul><li>Remove nail varnish from fingers and toes before admission</li><li>Do not apply creams, lotions or perfume on the day</li><li>Arrange for someone to collect you - you cannot drive after a general anaesthetic</li><li>Arrange for an adult to stay with you for the first 24 hours at home</li></ul>",published,Clinical Information Team,10,1,📋
What to Expect on the Day of Your Operation,what-to-expect-day-of-surgery,article,pre-surgery,general-surgery,A walkthrough of what happens from admission through to surgery including what each stage involves.,"<p>Knowing what to expect on the day of your operation reduces anxiety and helps you feel in control. Here is what typically happens from the moment you arrive at the hospital.</p><h2>Admission and Pre-Assessment</h2><p>You will be admitted to a ward or day surgery unit. A nurse will check your observations (blood pressure, heart rate, temperature, oxygen levels), confirm your medication history and check you have fasted as instructed. Your anaesthetist and surgeon will visit to confirm the procedure, answer your questions and ask you to sign consent forms.</p><h2>The Anaesthetic</h2><p>If you are having a general anaesthetic, you will be taken to the anaesthetic room adjoining the operating theatre. The anaesthetist will insert a cannula (thin plastic tube) into your vein and administer the anaesthetic drugs. You will lose consciousness within seconds and will not be aware of anything during the operation.</p><h2>In the Recovery Room</h2><p>When the operation is complete you will be taken to the recovery room where specialist nurses monitor your vital signs as the anaesthetic wears off. You may feel groggy, cold, nauseous or experience some pain. The team will manage any discomfort before returning you to the ward.</p><ul><li>Ask any questions you have before signing consent</li><li>Tell your team about any allergies or previous reactions to anaesthetic</li><li>You will be kept nil-by-mouth until you are fully awake after a general anaesthetic</li><li>Most people can eat and drink within a few hours of a straightforward procedure</li></ul>",published,Clinical Information Team,9,0,📋
Your Pre-Assessment Clinic Appointment,pre-assessment-clinic-guide,article,pre-surgery,general-surgery,What happens at a pre-assessment clinic and why it is an important part of your surgical preparation.,"<p>A pre-assessment clinic appointment takes place before your planned operation. It is an opportunity for the team to check your health, review your medications and identify anything that might affect your surgery or anaesthetic.</p><h2>What Happens at Pre-Assessment</h2><p>A specialist nurse will take a detailed medical history, ask about previous anaesthetics and surgeries, review your current medications and carry out basic health checks (ECG, blood tests, blood pressure, lung function). They will explain what to expect before, during and after your operation and answer your questions.</p><h2>Why Pre-Assessment Matters</h2><p>Pre-assessment allows the team to identify and address any health issues that could increase your surgical risk. Optimising blood pressure, blood glucose, stopping smoking or adjusting medications before surgery significantly improves outcomes. Identifying issues at this stage prevents cancellations on the day.</p><ul><li>Bring a complete list of all medications including supplements</li><li>Tell the team about any recent illness or changes in your health</li><li>Ask about what to do with each of your regular medications before surgery</li><li>This is the best time to ask questions about the procedure and recovery</li></ul>",published,Clinical Information Team,8,0,📋
Recovering at Home After Surgery,recovering-at-home,article,post-surgery,general-surgery,Essential advice for a safe and comfortable recovery at home following your operation.,"<p>Going home after surgery is an important milestone, but the recovery period requires careful attention to wound care, activity levels and watching for warning signs. This guide helps you recover safely and comfortably.</p><h2>Wound Care</h2><p>Keep your wound clean and dry as instructed by your surgical team. Most surgical wounds are closed with dissolvable stitches, surgical staples or adhesive strips. Your discharge letter will specify when and how to clean the wound, when you can get it wet and whether you need a wound check appointment.</p><h2>Managing Pain at Home</h2><p>Some discomfort is normal after surgery. Take pain relief as prescribed and at regular intervals rather than waiting until pain is severe. A combination of paracetamol and ibuprofen (if suitable for you) manages post-operative pain effectively for most people. Do not stop prescribed medications without advice.</p><h2>Returning to Activity</h2><p>Follow your specific discharge instructions about when you can return to different activities. General guidance: light activity as soon as you feel able; driving only when you can perform an emergency stop safely; return to work depends on the nature of your job and the operation. Avoid heavy lifting until your surgeon advises it is safe.</p><ul><li>Seek urgent medical advice if you develop fever above 38 degrees, increasing pain, swelling or discharge from your wound</li><li>Attend all follow-up appointments</li><li>Rest when you need to - recovery is not linear</li><li>Eat well and stay hydrated to support healing</li></ul>",published,Clinical Information Team,12,1,🏠
Warning Signs After Surgery,warning-signs-after-surgery,article,post-surgery,general-surgery,Which symptoms after surgery require urgent medical attention and what to do.,"<p>Most people recover from surgery without complications. However, it is important to know which symptoms should prompt you to seek urgent medical advice rather than waiting for a scheduled follow-up appointment.</p><h2>Signs of Wound Infection</h2><p>Increasing redness, warmth or swelling around the wound, discharge (especially if thick, yellow or green), increasing rather than improving pain, and fever (temperature above 38 degrees Celsius) are all signs of possible wound infection. Contact your ward, GP or call 111 promptly. Do not wait.</p><h2>Signs of Blood Clot (DVT or PE)</h2><p>After surgery, particularly lower limb or pelvic surgery, there is a risk of deep vein thrombosis (DVT) and pulmonary embolism (PE). Signs of DVT include calf pain, swelling and redness in one leg. Signs of PE include sudden breathlessness, chest pain, coughing up blood or a fast heart rate. These are medical emergencies - call 999 immediately.</p><h2>Other Urgent Symptoms</h2><p>Sudden severe abdominal pain, difficulty breathing, chest pain, collapse or unconsciousness, inability to pass urine for more than 12 hours, or any symptom that seriously concerns you should prompt immediate contact with emergency services or your surgical ward directly.</p><ul><li>Keep your ward telephone number accessible after discharge</li><li>Call 999 for chest pain or difficulty breathing</li><li>Call 111 if unsure whether your symptoms need urgent attention</li><li>Do not wait for routine appointments if you have a new concerning symptom</li></ul>",published,Clinical Information Team,10,0,🏠
Understanding Day Surgery,understanding-day-surgery,article,day-surgery,general-surgery,What day surgery means what to expect and how to prepare for a same-day procedure.,"<p>Day surgery means you are admitted and discharged on the same day as your operation. It is now the most common type of surgical admission in the UK. Modern anaesthetic and surgical techniques mean many procedures that previously required overnight stays can safely be done as day cases.</p><h2>Are You Suitable for Day Surgery?</h2><p>Most people are suitable for day surgery if they have a responsible adult to take them home and stay with them for 24 hours, and if their home environment is suitable for recovery. Some medical conditions (poorly controlled diabetes, severe heart or lung disease) may mean an overnight stay is safer. Your pre-assessment team will advise.</p><h2>On the Day</h2><p>Arrive at your designated time and expect to be at the hospital for several hours including preparation, surgery and recovery time. Recovery from day surgery anaesthetics is carefully managed to ensure you are fully awake, comfortable and safe before discharge. Your nurse will go through discharge instructions with you and your carer before you leave.</p><ul><li>You must not drive, operate machinery or make legal decisions for 24 hours after a general anaesthetic</li><li>Do not travel alone - your escort must be present at discharge</li><li>Have pain relief available at home before your procedure</li><li>Follow all wound care and activity instructions given at discharge</li></ul>",published,Clinical Information Team,9,0,🌅
Understanding Your Heart Condition,understanding-your-heart-condition,article,heart-conditions,cardiology,An introduction to the most common heart conditions and what they mean for patients.,"<p>Receiving a diagnosis of a heart condition can be frightening, but most heart conditions are very manageable with the right treatment and lifestyle changes. Understanding your diagnosis is the first step towards living well with it.</p><h2>Coronary Heart Disease</h2><p>Coronary heart disease (CHD) occurs when the arteries supplying the heart muscle become narrowed by a build-up of fatty deposits (atherosclerosis). This can cause angina (chest pain on exertion) and heart attacks. Treatment includes medications, lifestyle changes and in some cases coronary angioplasty or bypass surgery.</p><h2>Heart Failure</h2><p>Heart failure does not mean the heart has stopped. It means the heart is not pumping as effectively as it should be. Symptoms include breathlessness, fatigue and ankle swelling. It can be caused by previous heart attacks, high blood pressure or valve disease. Medication, lifestyle changes and cardiac rehabilitation significantly improve both symptoms and life expectancy.</p><h2>Atrial Fibrillation</h2><p>Atrial fibrillation (AF) is an irregular, often rapid heart rhythm. It increases the risk of stroke significantly. Treatment includes medications to control heart rate and rhythm, and anticoagulants to reduce stroke risk. Many people with AF live normal, full lives with appropriate treatment.</p><ul><li>Attend all follow-up appointments with your cardiologist</li><li>Know your medications and why you take them</li><li>Cardiac rehabilitation is highly effective if offered - attend every session</li><li>Lifestyle changes (not smoking, exercise, diet) improve outcomes for all heart conditions</li></ul>",published,Clinical Information Team,12,1,❤️
Living with Heart Failure,living-with-heart-failure,article,heart-conditions,cardiology,Practical guidance for patients living with heart failure including monitoring symptoms and self-management.,"<p>Living well with heart failure is possible with the right self-management strategies. The goal is to reduce symptoms, prevent deterioration and avoid hospital admissions. This guide covers the key strategies.</p><h2>Daily Weight Monitoring</h2><p>Weigh yourself every morning after using the toilet and before eating, wearing similar clothing. Record the weight. A gain of more than 2 kg in two days or 3 kg in a week often indicates fluid retention and should prompt you to contact your heart failure nurse or GP before it becomes serious enough to require hospitalisation.</p><h2>Fluid and Salt Restriction</h2><p>Your cardiologist may advise limiting fluid intake to 1.5 to 2 litres per day. Reducing salt intake is important for almost all heart failure patients. Excess salt causes fluid retention which makes the heart work harder and worsens breathlessness. Read labels and choose low-sodium options.</p><ul><li>Take your medications exactly as prescribed - never stop without advice</li><li>Know your target weight and contact your team if you are outside it</li><li>Attend your heart failure clinic appointments regularly</li><li>Gentle, regular exercise approved by your team improves symptoms and quality of life</li></ul>",published,Clinical Information Team,10,0,❤️
Understanding Cardiac Tests and Procedures,understanding-cardiac-tests,article,cardiac-procedures,cardiology,What to expect from common cardiac investigations including ECG angiogram and echocardiogram.,"<p>If you have been referred for cardiac tests or procedures, understanding what is involved helps reduce anxiety and ensures you prepare correctly. Here is an overview of the most common investigations.</p><h2>ECG (Electrocardiogram)</h2><p>An ECG records the electrical activity of your heart. Sticky electrodes are placed on your chest, arms and legs and connected to a machine. The test is entirely painless and takes around 10 minutes. It detects abnormal heart rhythms, signs of a previous heart attack and other cardiac abnormalities.</p><h2>Echocardiogram</h2><p>An echocardiogram is an ultrasound scan of the heart. A probe is placed on your chest and uses sound waves to create an image of the heart beating. It shows the heart's structure and how well it is pumping. The test is painless and takes around 45 minutes. No preparation is usually required.</p><h2>Coronary Angiogram</h2><p>A coronary angiogram examines the blood vessels supplying the heart. A thin tube (catheter) is inserted into a blood vessel in your wrist or groin and guided to the coronary arteries. Contrast dye is injected and X-ray images are taken. If narrowings are found, angioplasty (stenting) may be performed at the same time. The procedure takes 30 to 60 minutes under local anaesthetic.</p><ul><li>Follow all preparation instructions specific to each test</li><li>Ask your cardiologist what the test results will mean for your management</li><li>Bring a list of all your medications to every investigation appointment</li><li>Most cardiac tests are performed as outpatients with no overnight stay required</li></ul>",published,Clinical Information Team,11,0,🩺
Cardiac Rehabilitation,cardiac-rehabilitation,article,cardiac-procedures,cardiology,What cardiac rehabilitation is why it matters and what to expect from a programme.,"<p>Cardiac rehabilitation (cardiac rehab) is a structured programme of exercise, education and psychological support offered to people who have had a heart attack, heart surgery or been diagnosed with heart failure. Research consistently shows it reduces the risk of further heart attacks and improves quality of life.</p><h2>What a Programme Includes</h2><p>A typical cardiac rehab programme runs for six to eight weeks and includes supervised exercise sessions (usually twice per week), education sessions on heart disease, medications, diet and risk factor management, and psychological support to manage anxiety and depression - which are very common after a heart event.</p><h2>The Benefits</h2><p>Attending cardiac rehab reduces the risk of a further heart attack by up to 20-25%. It improves exercise tolerance, reduces symptoms, improves psychological wellbeing and helps people return to work and normal activities sooner. Yet less than half of eligible patients attend. If you are offered it, go.</p><ul><li>Cardiac rehab is offered free on the NHS to eligible patients</li><li>Ask your cardiologist or GP for a referral if you have not been offered it</li><li>Bring comfortable exercise clothing and appropriate footwear</li><li>The programme is tailored to your individual capacity - you will not be pushed beyond safe limits</li></ul>",published,Clinical Information Team,10,0,🩺
