topic,question,answer,status,sort_order
General,Do you add any sugar or preservatives?,"No absolutely not. Our sugarcane juice is 100% natural pressed live from the stalk. The sweetness comes entirely from the natural sugars in the cane itself - just as it has been enjoyed across India and South Asia for over 2000 years.",active,1
General,How long does the juice stay fresh?,"Fresh sugarcane juice is best enjoyed immediately after pressing. If kept chilled it can stay fresh for up to 24 hours. We always recommend drinking it cool and fresh for the very best flavour.",active,2
General,Is the juice suitable for everyone?,"Yes! Fresh sugarcane juice is naturally vegan gluten-free and dairy-free. In Ayurvedic medicine sugarcane is classified as a sheetal (cooling) and balancing food. Please consume responsibly if you are managing blood sugar levels.",active,3
Events,What types of events can I hire you for?,"We cater for all types of events including Indian weddings Mehndi nights Sangeet evenings Baraat receptions Eid parties Diwali celebrations Vaisakhi melas birthdays corporate gatherings and community events across the UK.",active,4
Events,How much does it cost to hire for an event?,"Pricing is customised based on your event size location duration and number of guests. Contact us for a personalised quote - we always work to accommodate your budget.",active,5
Events,How much notice do you need for event bookings?,"We recommend booking at least 2-4 weeks in advance especially during peak season (April-October). Do reach out even at shorter notice and we will do our very best to accommodate you.",active,6
Juice,What is the difference between Yellow Cane and Red Cane?,"Yellow Cane produces a lighter golden juice with a clean mild sweetness. Red Cane (+£0.50) is naturally richer with a deeper amber colour and more intense sweetness. Both are 100% natural with no additives.",active,7
Juice,What flavour blends do you offer?,"We offer Pure Cane (included) Citrus Blends - Lemon Ginger Lemon & Ginger and Mint (+£0.50 each) - and Tropical Blends - Pineapple Watermelon Strawberry and Blueberry Burst (+£1.00 each).",active,8
General,Is your sugarcane sustainable?,"Yes! Sugarcane is one of the most sustainable crops on earth. Our leftover fibre (bagasse) is completely biodegradable. We are committed to eco-conscious serving practices at all our events.",active,9
Franchise,How can I become a franchise partner?,"We welcome franchise enquiries from across the UK. Whether you want to run a permanent stall mobile unit or events-focused operation we have a model for you. Call +44 7887 699 208 or use the contact form.",active,10
